Sample,Type
CGGA_1004,Cancer
CGGA_1005,Cancer
CGGA_1013,Cancer
CGGA_1020,Cancer
CGGA_1031,Cancer
CGGA_1046,Cancer
CGGA_1050,Cancer
CGGA_1052,Cancer
CGGA_1071,Cancer
CGGA_1330,Cancer
CGGA_1406,Cancer
CGGA_171,Cancer
CGGA_235,Cancer
CGGA_236,Cancer
CGGA_241,Cancer
CGGA_243,Cancer
CGGA_251,Cancer
CGGA_252,Cancer
CGGA_254,Cancer
CGGA_256,Cancer
CGGA_261,Cancer
CGGA_267,Cancer
CGGA_269,Cancer
CGGA_273,Cancer
CGGA_276,Cancer
CGGA_283,Cancer
CGGA_300,Cancer
CGGA_323,Cancer
CGGA_333,Cancer
CGGA_446,Cancer
CGGA_479,Cancer
CGGA_485,Cancer
CGGA_493,Cancer
CGGA_501,Cancer
CGGA_502,Cancer
CGGA_538,Cancer
CGGA_541,Cancer
CGGA_543,Cancer
CGGA_551,Cancer
CGGA_580,Cancer
CGGA_601,Cancer
CGGA_607,Cancer
CGGA_632,Cancer
CGGA_633,Cancer
CGGA_635,Cancer
CGGA_638,Cancer
CGGA_642,Cancer
CGGA_655,Cancer
CGGA_659,Cancer
CGGA_662,Cancer
CGGA_666,Cancer
CGGA_671,Cancer
CGGA_675,Cancer
CGGA_685,Cancer
CGGA_689,Cancer
CGGA_698,Cancer
CGGA_704,Cancer
CGGA_715,Cancer
CGGA_725,Cancer
CGGA_738,Cancer
CGGA_752,Cancer
CGGA_757,Cancer
CGGA_760,Cancer
CGGA_762,Cancer
CGGA_766,Cancer
CGGA_785,Cancer
CGGA_796,Cancer
CGGA_807,Cancer
CGGA_812,Cancer
CGGA_815,Cancer
CGGA_818,Cancer
CGGA_834,Cancer
CGGA_835,Cancer
CGGA_838,Cancer
CGGA_843,Cancer
CGGA_856,Cancer
CGGA_858,Cancer
CGGA_864,Cancer
CGGA_871,Cancer
CGGA_884,Cancer
CGGA_892,Cancer
CGGA_893,Cancer
CGGA_898,Cancer
CGGA_904,Cancer
CGGA_905,Cancer
CGGA_908,Cancer
CGGA_909,Cancer
CGGA_D04,Cancer
CGGA_D07,Cancer
CGGA_D15,Cancer
CGGA_D20,Cancer
CGGA_D29,Cancer
CGGA_D47,Cancer
CGGA_J030,Cancer
N489,Normal
N491,Normal
N494,Normal
N499,Normal
N505,Normal
N508,Normal
N509,Normal
N512,Normal
N530,Normal
N548,Normal
N557,Normal
N562,Normal
N573,Normal
N577,Normal
N588,Normal
N593,Normal
N597,Normal
N609,Normal
N775,Normal
N877,Normal
